 time            vo1             p1              p2             
 1.14392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.15392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.16392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.17392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.18392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.19392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.20392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.21392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.22392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.23392494e-06  1.00423962e+00  1.80000000e+00  0.00000000e+00 
 1.24392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.25392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.26392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.27392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.28392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.29392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.30392494e-06  1.00423963e+00  1.80000000e+00  0.00000000e+00 
 1.31392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.32392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.33392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.34392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.35392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.36392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.37392494e-06  1.00423964e+00  1.80000000e+00  0.00000000e+00 
 1.38392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.39392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.40392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.41392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.42392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.43392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.44392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.45392494e-06  1.00423965e+00  1.80000000e+00  0.00000000e+00 
 1.46392494e-06  1.00423966e+00  1.80000000e+00  0.00000000e+00 
 1.47392494e-06  1.00423966e+00  1.80000000e+00  0.00000000e+00 
 1.48392494e-06  1.00423966e+00  1.80000000e+00  0.00000000e+00 
 1.49392494e-06  1.00423966e+00  1.80000000e+00  0.00000000e+00 
 1.50010000e-06  1.00423966e+00  1.80000000e+00  0.00000000e+00 
 1.50011000e-06  1.00423966e+00  1.62000000e+00  0.00000000e+00 
 1.50012778e-06  1.00423966e+00  1.30000000e+00  0.00000000e+00 
 1.50013264e-06  1.00423966e+00  1.21250000e+00  0.00000000e+00 
 1.50014115e-06  1.00423966e+00  1.05937500e+00  0.00000000e+00 
 1.50015056e-06  1.00423977e+00  8.89843750e-01  0.00000000e+00 
 1.50016940e-06  1.00423977e+00  5.50781250e-01  0.00000000e+00 
 1.50020000e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50020377e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50021130e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50022637e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50025651e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50031679e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50043734e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50067845e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50116068e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50212512e-06  1.00423977e+00  0.00000000e+00  0.00000000e+00 
 1.50405401e-06  1.00423978e+00  0.00000000e+00  0.00000000e+00 
