 time            vo1             vo2             q               p1              p2             
 3.65001525e-05 -1.50591686e-01 -7.39624973e-01  5.12913104e-05  5.70468750e-01  0.00000000e+00 
 3.65001608e-05 -1.50591686e-01 -7.39624973e-01  1.17631134e-04  4.70421457e-01  0.00000000e+00 
 3.65001695e-05 -1.50591686e-01 -7.39624973e-01  2.07896157e-04  3.66299316e-01  0.00000000e+00 
 3.65001796e-05 -1.50591686e-01 -7.39624973e-01  2.85141893e-04  2.45267961e-01  0.00000000e+00 
 3.65001903e-05 -1.50591686e-01 -7.39624973e-01  3.40016170e-04  1.16331730e-01  0.00000000e+00 
 3.65002000e-05 -1.50591686e-01 -7.39624973e-01  2.66721897e-04  0.00000000e+00  0.00000000e+00 
 3.65002010e-05 -1.50591686e-01 -7.39624973e-01  2.71364744e-04  0.00000000e+00  0.00000000e+00 
 3.65002029e-05 -1.50591686e-01 -7.39624973e-01  2.05414966e-04  0.00000000e+00  0.00000000e+00 
 3.65002067e-05 -1.50591686e-01 -7.39624973e-01 -9.40132733e-05  0.00000000e+00  0.00000000e+00 
 3.65002115e-05 -1.50591686e-01 -7.39624973e-01 -5.21801137e-04  0.00000000e+00  0.00000000e+00 
 3.65002173e-05 -1.50591686e-01 -7.39624973e-01 -9.14782947e-04  0.00000000e+00  0.00000000e+00 
 3.65002231e-05 -1.50591686e-01 -7.39624973e-01 -1.07087848e-03  0.00000000e+00  0.00000000e+00 
 3.65002288e-05 -1.50591686e-01 -7.39624973e-01 -1.05466281e-03  0.00000000e+00  0.00000000e+00 
 3.65002339e-05 -1.50591686e-01 -7.39624973e-01 -8.77120282e-04  0.00000000e+00  0.00000000e+00 
 3.65002380e-05 -1.50591686e-01 -7.39624973e-01 -6.59838768e-04  0.00000000e+00  0.00000000e+00 
 3.65002430e-05 -1.50591686e-01 -7.39624973e-01 -3.03993587e-04  0.00000000e+00  0.00000000e+00 
 3.65002481e-05 -1.50591686e-01 -7.39624973e-01  2.34868306e-04  0.00000000e+00  0.00000000e+00 
 3.65002529e-05 -1.50591686e-01 -7.39624973e-01  5.60417210e-04  0.00000000e+00  0.00000000e+00 
 3.65002575e-05 -1.50591686e-01 -7.39624973e-01  6.02946949e-04  0.00000000e+00  0.00000000e+00 
 3.65002633e-05 -1.50591686e-01 -7.39624973e-01  4.51305821e-04  0.00000000e+00  0.00000000e+00 
